Optimizer,Feature_Dimension,Complexity_Level,Noise_Level,Hidden_Neurons,Function_Type,Training_Loss,Validation_Loss,Test_Loss,Training_Time
SGD,3,medium,1.0,16,sinusoidal,0.033808966717598116,0.03103995807468891,0.036700225062668325,4.008074045181274
SGD,6,high,0.1,16,polynomial,0.004690334846434946,0.004330868506804109,0.004507442843168974,3.9811298847198486
SGD,6,high,0.1,16,sinusoidal,0.025853874437002974,0.024374270252883433,0.02834045998752117,4.065000295639038
SGD,6,high,0.5,16,polynomial,0.0045811591923914175,0.00402625051792711,0.004043827182613313,3.9992923736572266
SGD,6,high,0.5,16,sinusoidal,0.025750670963051645,0.023814848251640798,0.02921800408512354,3.9442312717437744
SGD,6,high,1.0,16,polynomial,0.006006891775706952,0.005769934318959713,0.006104839453473687,4.034992218017578
SGD,6,high,1.0,16,sinusoidal,0.024786299115724185,0.022167565859854223,0.02848086506128311,3.968167781829834
SGD,6,low,0.1,16,polynomial,0.0011205442980016496,0.0010539596027228982,0.0013378502568230032,3.97721004486084
SGD,6,low,0.1,16,sinusoidal,0.026750425786965272,0.02759092263877392,0.028567923791706563,4.036056041717529
SGD,6,low,0.5,16,polynomial,0.0023748756502754986,0.002594344038516283,0.0025049010990187527,3.9317128658294678
SGD,6,low,0.5,16,sinusoidal,0.026211880041625012,0.026304920949041844,0.027275427430868148,4.002527952194214
SGD,6,low,1.0,16,polynomial,0.003760402196679603,0.0036366989370435476,0.0046065521193668245,4.026889324188232
SGD,6,low,1.0,16,sinusoidal,0.024665198606354268,0.02485407404601574,0.025724451057612896,4.024796724319458
SGD,6,medium,0.1,16,polynomial,0.01111371181270277,0.010479403706267477,0.010457860119640828,4.000670671463013
SGD,6,medium,0.1,16,sinusoidal,0.02651042097502134,0.024068974331021308,0.026293082162737846,4.0280609130859375
SGD,6,medium,0.5,16,polynomial,0.0060473004334860225,0.006969585665501654,0.007068547885864973,3.971627712249756
SGD,6,medium,0.5,16,sinusoidal,0.026220712027597157,0.024525600858032702,0.02474622558802366,4.105544805526733
SGD,6,medium,1.0,16,polynomial,0.008077253270047631,0.008847191696986556,0.007307529449462891,3.9971041679382324
SGD,6,medium,1.0,16,sinusoidal,0.025410910390994766,0.023566434159874916,0.02526317061856389,4.082209348678589
SGD,20,high,0.1,16,polynomial,0.008145005421035668,0.006959396158345043,0.00832190401852131,4.003693103790283
SGD,20,high,0.1,16,sinusoidal,0.02074669792570851,0.023030002322047948,0.021086332388222218,4.067850112915039
SGD,20,high,0.5,16,polynomial,0.007457541375928981,0.007770018302835524,0.008080250164493919,4.028831958770752
SGD,20,high,0.5,16,sinusoidal,0.01926420182412998,0.019320167414844037,0.019792035035789014,3.9834210872650146
SGD,20,high,1.0,16,polynomial,0.009149003583429889,0.008545940835028886,0.008640999416820705,4.034560441970825
SGD,20,high,1.0,16,sinusoidal,0.017530997241423887,0.018466185405850412,0.018743270169943572,3.997178316116333
SGD,20,low,0.1,16,polynomial,0.005371050729246979,0.005986033286899328,0.005714810267090797,4.016587018966675
SGD,20,low,0.1,16,sinusoidal,0.017777128314430065,0.018826446402817963,0.020268061850219964,4.060842514038086
SGD,20,low,0.5,16,polynomial,0.00638614025559615,0.0068522572633810345,0.006950226100161672,4.077682733535767
SGD,20,low,0.5,16,sinusoidal,0.018046194708652118,0.019117263983935116,0.01911418652161956,4.075188159942627
SGD,20,low,1.0,16,polynomial,0.008356975867751647,0.00949495118111372,0.010409273346886039,4.0343337059021
SGD,20,low,1.0,16,sinusoidal,0.018387438179078428,0.020018237177282572,0.020888183638453482,4.072555780410767
SGD,20,medium,0.1,16,polynomial,0.01916322543878447,0.021177283953875303,0.019951803609728813,4.0581955909729
SGD,20,medium,0.1,16,sinusoidal,0.02555461380292069,0.02670184411108494,0.027276790887117385,4.060364007949829
SGD,20,medium,0.5,16,polynomial,0.018151128114285795,0.019966200366616248,0.018535215593874454,4.004651784896851
SGD,20,medium,0.5,16,sinusoidal,0.02709518571976911,0.026105689443647863,0.02902907319366932,4.077696084976196
SGD,20,medium,1.0,16,polynomial,0.019363256213678556,0.022158427629619837,0.020278141275048255,4.019021987915039
SGD,20,medium,1.0,16,sinusoidal,0.02694304755211554,0.026402301900088788,0.026879446394741536,4.036202669143677
